Address,Settlement Date
"10 / 22 Chatsworth Road GREENSLOPES (LID:834299, CID:196332)",17/08/2016
"62 Wickham Street Morningside (LID:833181, CID:198477)",22/08/2016
"10A Dalma Street NORMAN PARK (LID:833159, CID:199032)",23/08/2016
"7 Banya Street BULIMBA (LID:855355, CID:210719)",12/09/2016
"67 Woodhill Avenue Coorparoo (LID:859435, CID:211367)",19/09/2016
"59 Nordenfeldt Road Cannon Hill (LID:856419, CID:211560)",20/09/2016
"7 Glen Street COORPAROO (LID:833157, CID:229654)",18/10/2016
"29 Beelarong Street MORNINGSIDE (LID:894334, CID:227384)",21/10/2016
"3 Stoddart Court Carindale (LID:893293, CID:229842)",24/10/2016
"23 Trundle Street Coorparoo (LID:883560, CID:227023)",2/11/2016
"46 Brisbane Avenue Camp Hill (LID:959176, CID:231870)",2/11/2016
"31 Raven Street Camp Hill (LID:895454, CID:232631)",16/11/2016
"48 Brisbane Avenue Camp Hill (LID:963200, CID:232892)",16/11/2016
"11 Ashfield Street East Brisbane (LID:946069, CID:235097)",29/11/2016
"91 Kirkland Avenue Coorparoo (LID:958870, CID:236244)",12/12/2016
"37 McIlwraith Avenue Norman Park (LID:930567, CID:240385)",16/12/2016
"31 Kingfisher Lane East Brisbane (LID:956485, CID:236952)",19/12/2016
"69 Woodhill Avenue COORPAROO (LID:893306, CID:240826)",9/01/2017
"127 Mowbray Terrace EAST BRISBANE (LID:946698, CID:239855)",10/01/2017
"25 Green Street Yeerongpilly (LID:955548, CID:239446)",16/01/2017
"6 Graven Street Murarrie (LID:891980, CID:240417)",17/01/2017
"88/16 Hetherington Avenue Bulimba (LID:966070, CID:238472)",30/01/2017
"39 Third Street Camp Hill (LID:859032, CID:245123)",9/02/2017
"12 Viminal Hill Crescent Seven Hills (LID:1006755, CID:250720)",5/04/2017
"9 Rowland Street Coorparoo (LID:1011025, CID:247964)",6/04/2017
"4 / 25 Rialto Street Coorparoo (LID:1022242, CID:254668)",27/04/2017
"61 Rawlins Street Kangaroo Point (LID:1035268, CID:256910)",4/05/2017
"15 Watson Street CAMP HILL (LID:1087178, CID:264444)",8/05/2017
"24 Annie Street New Farm (LID:1083128, CID:264508)",8/05/2017
"1 / 12 Durham Street Coorparoo (LID:962210, CID:262022)",9/05/2017
"44 Edencourt Street Camp Hill (LID:1065201, CID:255831)",29/05/2017
"1 / 18 Bunya Street GREENSLOPES (LID:1085287, CID:267451)",29/05/2017
"30 Lancaster Street Coorparoo (LID:982725, CID:258697)",1/06/2017
"31A Raven Street Camp Hill (LID:1114225, CID:277799)",7/06/2017
"3 Gresham Street East Brisbane (LID:1091061, CID:264461)",8/06/2017
"10 Viminal Hill Crescent Seven Hills (LID:1040600, CID:267002)",12/06/2017
"170 Darcy Road Seven Hills (LID:1091949, CID:277786)",19/06/2017
"Lot 524 / 22 Third Street Camp Hill (LID:1159715, CID:278978)",28/07/2017
"36 Illidge Street Coorparoo (LID:1118455, CID:282003)",28/07/2017
"36 Mckie Crescent Cannon Hill (LID:1174080, CID:289105)",14/08/2017
"184 D'Arcy Road Seven Hills (LID:1042220, CID:293959)",7/09/2017
"24 Munce Place Cannon Hill (LID:1228104, CID:291723)",8/09/2017
"Lot 14 Tiburtina Crescent Seven Hills (LID:1087293, CID:257559)",15/09/2017
"33 Dickson Street Morningside (LID:1169914, CID:291559)",15/09/2017
"9 Greens Road Coorparoo (LID:1233499, CID:292961)",15/09/2017
"18 Wotton Street Camp Hill (LID:1237082, CID:295091)",22/09/2017
"2 / 51 Lancaster Street Coorparoo (LID:1216856, CID:294204)",6/10/2017
"26 Frank Street Norman Park (LID:1239107, CID:299135)",16/10/2017
"37 Thynne Avenue Norman Park (LID:1241450, CID:299223)",17/10/2017
"1206 / 45 Duncan Street West End (LID:1224319, CID:301032)",31/10/2017
"20 Wotton Street Camp Hill (LID:1246456, CID:302488)",9/11/2017
"46 Temple Street Coorparoo (LID:1262807, CID:303240)",13/11/2017
"59 Raven Street Camp Hill (LID:1262975, CID:303310)",13/11/2017
"18 Armstrong Road Cannon Hill (LID:1092407, CID:301882)",20/11/2017
"203 Ferguson Road Seven Hills (LID:1246600, CID:304366)",27/11/2017
"16 Harmony Crescent Seven Hills (LID:1268210, CID:306200)",4/12/2017
"29 Balmoral Street HAWTHORNE (LID:1284188, CID:306590)",4/12/2017
"52 Trafalgar Street Morningside (LID:1258507, CID:305438)",6/12/2017
"3 Grant Street Camp Hill (LID:1277747, CID:311903)",8/12/2017
"10 Joan Street Norman Park (LID:1262522, CID:299370)",18/12/2017
"77 Mowbray Terrace East Brisbane (LID:1286884, CID:311944)",18/12/2017
"Lot 3 / 9 Ison Street Morningside (LID:1319836, CID:309573)",4/01/2018
"103 Temple Street COORPAROO (LID:1207232, CID:287945)",17/01/2018
"81 Chatsworth Road Greenslopes (LID:1255743, CID:310539)",22/01/2018
"Lot 1 / 9 Ison Street Morningside (LID:1332562, CID:313186)",25/01/2018
"Lot 31 / Munce Place Cannon Hill (LID:1279772, CID:313165)",31/01/2018
"49 Bruce Street CAMP HILL (LID:1333078, CID:317688)",9/02/2018
"21 / 14 Montrose Road Taringa (LID:1151902, CID:318335)",19/02/2018
"60 Tennyson Street Norman Park (LID:1325941, CID:321101)",19/02/2018
"2 / 5 Hamel Street Camp Hill (LID:1360338, CID:328490)",20/03/2018
"8 Ernest Street Morningside (LID:1289412, CID:327792)",26/03/2018
"50 Johnston Street Bulimba (LID:1277989, CID:322914)",3/04/2018
"42 Raven Street Camp Hill (LID:1344453, CID:326631)",3/04/2018
"104 Watson Street Camp Hill (LID:1418821, CID:329756)",9/04/2018
"4 Miawela Street Seven Hills (LID:1344360, CID:316966)",11/04/2018
"62 Parkview Avenue Wynnum (LID:1289343, CID:326606)",19/04/2018
"51 Raven Street CAMP HILL (LID:1327124, CID:331738)",26/04/2018
"3 / 108 Richmond Road Morningside (LID:1413413, CID:332785)",26/04/2018
"810 / 117 Flockton Street Everton Park (LID:1150131, CID:331812)",30/04/2018
"23 Marian Street Coorparoo (LID:1388979, CID:335241)",22/05/2018
"93 Broadway Street Carina (LID:1400517, CID:339515)",29/05/2018
"72 Macdonald Street NORMAN PARK (LID:1449886, CID:340694)",5/06/2018
"91 Broadway Street Carina (LID:1415906, CID:346550)",13/06/2018
"126 Macrossan Avenue Norman Park (LID:1424400, CID:346401)",15/06/2018
"30 Lancaster Street Coorparoo (LID:1340966, CID:341926)",22/06/2018
"6 / 14 Lima Street Auchenflower (LID:1418674, CID:347674)",25/06/2018
"2 / 9 Ison Street Morningside (LID:1259433, CID:348015)",25/06/2018
"6 / 24 Rogoona Street Morningside (LID:1439087, CID:347560)",9/07/2018
"58 Carranya Street Camp Hill (LID:1460984, CID:350073)",10/07/2018
"24 Bernecker Street Carina (LID:1429495, CID:345095)",13/07/2018
"19 Noble Street CAMP HILL (LID:1478654, CID:350955)",16/07/2018
"4 Didsbury Street East Brisbane (LID:1418797, CID:346423)",18/07/2018
"90A Morehead Avenue Norman Park (LID:1531421, CID:355800)",6/08/2018
"68 Jubilee Terrace Bardon (LID:1505661, CID:356484)",10/08/2018
"87A Burn Street Camp Hill (LID:1404568, CID:358696)",17/08/2018
"20 Third Street Camp Hill (LID:1505187, CID:351930)",21/08/2018
"14 Pinecroft Street Camp Hill (LID:1504157, CID:352069)",22/08/2018
"77 Kingsbury Street Norman Park (LID:1428516, CID:358491)",22/08/2018
"7 / 18 Selangor Place Carina (LID:1427282, CID:347684)",27/08/2018
"4 Miawela Street Seven Hills (LID:1514690, CID:349911)",31/08/2018
"5 Yass Street Carina (LID:1533003, CID:356180)",7/09/2018
"30 Brisbane Avenue Camp Hill (LID:1509633, CID:364602)",7/09/2018
"16 Arrowsmith Street Camp Hill (LID:1558126, CID:362939)",18/09/2018
"26 Taylor Street Balmoral (LID:1421440, CID:354656)",2/10/2018
"46 Temple Street Coorparoo (LID:1561211, CID:365170)",12/10/2018
"35 Frank Street Norman Park (LID:1629052, CID:376389)",19/10/2018
"24 Prout Street CAMP HILL (LID:1607748, CID:376597)",22/10/2018
"11 Melbourne Avenue Camp Hill (LID:1665510, CID:384217)",26/11/2018
"24 Brussels Avenue Morningside (LID:1664282, CID:384239)",26/11/2018
"13 Newman Avenue Camp Hill (LID:1673614, CID:384202)",27/11/2018
"6 Abbott Street CAMP HILL (LID:1671348, CID:383496)",4/12/2018
"7 / 11-13 Bilyana Street Balmoral (LID:1664970, CID:386212)",6/12/2018
"11 The Promenade Camp Hill (LID:1533299, CID:379313)",12/12/2018
"50 Brooks Street CAMP HILL (LID:1660409, CID:384286)",12/12/2018
"19 Bradnor Street Carina (LID:1665554, CID:386900)",13/12/2018
"40 Boundary Road Camp Hill (LID:1602547, CID:376621)",14/12/2018
"16 Burchell Street Carina (LID:1728793, CID:389086)",17/12/2018
"3 Newbury Place Carindale (LID:1636053, CID:388065)",20/12/2018
"86 Raven Street Camp Hill (LID:1665819, CID:390525)",25/01/2019
"20 Eric Road Holland Park (LID:1713941, CID:391072)",25/01/2019
"8 Fred Street Camp Hill (LID:1753848, CID:395215)",6/02/2019
"2 / 35 Crown Street Holland Park West (LID:1675814, CID:395716)",4/03/2019
"72 Illidge Street Coorparoo (LID:1519092, CID:398992)",5/03/2019
"1A Agate Street Camp Hill (LID:1806592, CID:404212)",28/03/2019
"30 Durimbil Street CAMP HILL (LID:1675990, CID:397231)",29/03/2019
"15 Barton Street Holland Park West (LID:1800301, CID:404428)",1/04/2019
"81 Hipwood Street Norman Park (LID:1802599, CID:405385)",15/04/2019
"112 Macdonald Street Norman Park (LID:1664394, CID:403186)",16/04/2019
"39 Third Street Camp Hill (LID:1782131, CID:405338)",26/04/2019
